"","X","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"926","1685","OTU_1701","High","156133","Eukaryota","Chlorophyta","Palmophyllophyceae","Prasinococcales","Prasinococcaceae","Prasinoderma","Prasinoderma coloniale"
"941","171","OTU_172","High","498525","Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Corymorphidae","Corymorpha","Corymorpha bigelowi"
"949","172","OTU_173","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"968","1741","OTU_1757","High","33658","Eukaryota","","Haptophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa"
"974","1746","OTU_1762","High","1495204","Eukaryota","Annelida","Polychaeta","Spionida","Spionidae","Polydora","Polydora hoplura"
"976","1748","OTU_1764","High","661990","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Eucheilota","Eucheilota maculata"
"980","176","OTU_177","High","1470270","Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis lenisilicea"
"1043","1850","OTU_1867","High","1388884","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia lundholmiae"
"1062","1881","OTU_1898","High","373637","Eukaryota","Mollusca","Bivalvia","Mytiloida","Mytilidae","Aulacomya","Aulacomya atra"
"1079","1904","OTU_1922","High","37520","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Obelia dichotoma"
"1097","1925","OTU_1943","High","479643","Eukaryota","Porifera","Demospongiae","Dendroceratida","Dictyodendrillidae","Igernella","Igernella notabilis"
"1155","1996","OTU_2014","High","2903","Eukaryota","","Haptophyceae","Isochrysidales","Noelaerhabdaceae","Emiliania","Emiliania huxleyi"
"1167","2015","OTU_2033","High","469330","Eukaryota","Porifera","Demospongiae","Haplosclerida","Callyspongiidae","Callyspongia","Callyspongia siphonella"
"1191","2047","OTU_2065","High","1273208","Eukaryota","Mollusca","Gastropoda","Littorinimorpha","Assimineidae","Assiminea","Assiminea capensis"
"1192","2051","OTU_2069","High","2903","Eukaryota","","Haptophyceae","Isochrysidales","Noelaerhabdaceae","Emiliania","Emiliania huxleyi"
"1193","205","OTU_207","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"1195","2054","OTU_2072","High","1582912","Eukaryota","Rhodophyta","Florideophyceae","Acrochaetiales","Acrochaetiaceae","Acrochaetium","Acrochaetium plumosum"
"1209","207","OTU_209","High","6230","Eukaryota","Nemertea","Enopla","Monostilifera","Emplectonematidae","Emplectonema","Emplectonema gracile"
"1210","2072","OTU_2090","High","44447","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia delicatissima"
"1211","2074","OTU_2092","High","1476438","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Plumulariidae","Plumularia","Plumularia gaimardi"
"1235","2110","OTU_2128","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"1240","2118","OTU_2136","High","46524","Eukaryota","Echinodermata","Asteroidea","Valvatida","Asterinidae","Parvulastra","Parvulastra exigua"
"1259","2148","OTU_2167","High","1664502","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia sabit"
"1268","216","OTU_218","High","223366","Eukaryota","Chordata","Ascidiacea","Enterogona","Ascidiidae","Ascidia","Ascidia ahodori"
"1293","2191","OTU_2210","High","7726","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela","Styela plicata"
"1332","2242","OTU_2261","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"1341","2256","OTU_2275","High","33658","Eukaryota","","Haptophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa"
"1352","2271","OTU_2290","High","4781","Eukaryota","","Oomycetes","Peronosporales","Peronosporaceae","Plasmopara","Plasmopara halstedii"
"1369","2294","OTU_2313","High","37520","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Obelia dichotoma"
"1375","2306","OTU_2325","High","348593","Eukaryota","Mollusca","Bivalvia","Ostreoida","Ostreidae","Ostrea","Ostrea stentina"
"1377","2310","OTU_2329","High","135651","Eukaryota","Nematoda","Chromadorea","Rhabditida","Rhabditidae","Caenorhabditis","Caenorhabditis brenneri"
"1395","2339","OTU_2358","High","2893","Eukaryota","","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Petalonia","Petalonia fascia"
"1401","2347","OTU_2366","High","6063","Eukaryota","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria panicea"
"1460","2449","OTU_2469","High","201961","Eukaryota","Chordata","Ascidiacea","Enterogona","Ascidiidae","Ascidiella","Ascidiella aspersa"
"1482","2479","OTU_2499","High","521029","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Gilchristella","Gilchristella aestuaria"
"1510","2516","OTU_2536","High","581059","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Polyandrocarpa","Polyandrocarpa zorritensis"
"1553","26","OTU_26","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"1554","2580","OTU_2600","High","7658","Eukaryota","Echinodermata","Echinoidea","Echinoida","Echinidae","Parechinus","Parechinus angulosus"
"1556","2582","OTU_2602","High","1476438","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Plumulariidae","Plumularia","Plumularia gaimardi"
"1567","2598","OTU_2618","High","46524","Eukaryota","Echinodermata","Asteroidea","Valvatida","Asterinidae","Parvulastra","Parvulastra exigua"
"1636","2695","OTU_2716","High","390825","Eukaryota","Mollusca","Bivalvia","Mytiloida","Mytilidae","Semimytilus","Semimytilus algosus"
"1640","2700","OTU_2721","High","1588884","Eukaryota","","Phaeophyceae","Ectocarpales","Chordariaceae","Zeacarpa","Zeacarpa leiomorpha"
"1656","2728","OTU_2749","High","89947","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius capensis"
"1657","272","OTU_275","High","650517","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Amphiroa","Amphiroa beauvoisii"
"1662","2734","OTU_2755","High","216823","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema menzelii"
"1684","2761","OTU_2782","High","637417","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Amphibalanus","Amphibalanus eburneus"
"1696","2781","OTU_2802","High","33659","Eukaryota","","Haptophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis pouchetii"
"1703","278","OTU_281","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"1730","282","OTU_285","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"1741","2852","OTU_2874","High","299206","Eukaryota","","Katablepharidophyta","","Katablepharidaceae","Leucocryptos","Leucocryptos marina"
"1746","2862","OTU_2884","High","439822","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Microcosmus","Microcosmus squamiger"
"1761","2883","OTU_2905","High","62808","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botrylloides","Botrylloides leachii"
"1798","2940","OTU_2962","High","216823","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema menzelii"
"1799","2941","OTU_2963","High","326253","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Carpoblepharis","Carpoblepharis flaccida"
"1842","2993","OTU_3016","High","1970216","Eukaryota","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","Amathia","Amathia cf. gracilis AW-2014"
"1880","3050","OTU_3076","High","390825","Eukaryota","Mollusca","Bivalvia","Mytiloida","Mytilidae","Semimytilus","Semimytilus algosus"
"1882","304","OTU_308","High","884090","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Pterosiphonia","Pterosiphonia cloiophylla"
"1897","306","OTU_310","High","35128","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira pseudonana"
"1928","3121","OTU_3149","High","29158","Eukaryota","Mollusca","Bivalvia","Mytiloida","Mytilidae","Mytilus","Mytilus galloprovincialis"
"1940","3135","OTU_3163","High","1664502","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia sabit"
"1957","3161","OTU_3189","High","464988","Eukaryota","Cryptophyta","","Cryptomonadales","Hemiselmidaceae","Hemiselmis","Hemiselmis andersenii"
"1992","3217","OTU_3245","High","367925","Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Rathkeidae","Rathkea","Rathkea octopunctata"
"2019","3257","OTU_3286","High","316203","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Muggiaea","Muggiaea atlantica"
"2041","3285","OTU_3314","High","314517","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Obelia bidentata"
"2050","3296","OTU_3325","High","172976","Eukaryota","Rhodophyta","Florideophyceae","Gracilariales","Gracilariaceae","Gracilariopsis","Gracilariopsis longissima"
"2086","334","OTU_338","High","1141737","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina caespitosa"
"2087","3351","OTU_3380","High","6063","Eukaryota","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria panicea"
"2093","3360","OTU_3389","High","390825","Eukaryota","Mollusca","Bivalvia","Mytiloida","Mytilidae","Semimytilus","Semimytilus algosus"
"2102","3370","OTU_3399","High","2893","Eukaryota","","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Petalonia","Petalonia fascia"
"2117","338","OTU_342","High","41875","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos"
"2136","3417","OTU_3447","High","990558","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinidae","Atherina","Atherina breviceps"
"2142","3424","OTU_3454","High","884090","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Pterosiphonia","Pterosiphonia cloiophylla"
"2144","3428","OTU_3458","High","265564","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira punctigera"
"2183","3472","OTU_3502","High","39447","Eukaryota","","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Gymnodinium catenatum"
"2197","348","OTU_352","High","110520","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus glandula"
"2201","3494","OTU_3524","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"2215","3511","OTU_3541","High","201961","Eukaryota","Chordata","Ascidiacea","Enterogona","Ascidiidae","Ascidiella","Ascidiella aspersa"
"2257","3569","OTU_3600","High","29158","Eukaryota","Mollusca","Bivalvia","Mytiloida","Mytilidae","Mytilus","Mytilus galloprovincialis"
"2273","3591","OTU_3622","High","10212","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","Bugula","Bugula neritina"
"2301","3633","OTU_3664","High","216823","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema menzelii"
"2339","3691","OTU_3722","High","1226277","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Tetraclitidae","Tetraclita","Tetraclita serrata"
"2358","3716","OTU_3747","High","380003","Eukaryota","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Nassarius","Nassarius kraussianus"
"2359","3717","OTU_3748","High","1003790","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Pomadasys","Pomadasys commersonnii"
"2372","3736","OTU_3767","High","164055","Eukaryota","Rhodophyta","Florideophyceae","Halymeniales","Halymeniaceae","Pachymenia","Pachymenia carnosa"
"2447","3849","OTU_3881","High","119742","Eukaryota","Chordata","Actinopteri","Spariformes","Sparidae","Pterogymnus","Pterogymnus laniarius"
"2484","3899","OTU_3931","High","698476","Eukaryota","","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Endarachne","Endarachne binghamiae"
"2538","3987","OTU_4022","High","37520","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Obelia dichotoma"
"2547","399","OTU_404","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"2549","4007","OTU_4042","High","1880939","Eukaryota","Annelida","Polychaeta","Spionida","Spionidae","Polydora","Polydora lingshuiensis"
"2577","4046","OTU_4081","High","387435","Eukaryota","","Dinophyceae","Gymnodiniales","Kareniaceae","Takayama","Takayama acrotrocha"
"2581","4052","OTU_4087","High","192963","Eukaryota","Arthropoda","Malacostraca","Isopoda","Cirolanidae","Bathynomus","Bathynomus giganteus"
"2590","405","OTU_410","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"2593","4069","OTU_4104","High","195081","Eukaryota","Chordata","Actinopteri","Blenniiformes","Blenniidae","Parablennius","Parablennius pilicornis"
"2596","4074","OTU_4109","High","1562161","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Perforatus","Perforatus perforatus"
"2597","406","OTU_411","High","49249","Eukaryota","Bacillariophyta","Mediophyceae","Lithodesmiales","Lithodesmiaceae","Ditylum","Ditylum brightwellii"
"2608","4095","OTU_4131","High","190707","Eukaryota","","Phaeophyceae","Ectocarpales","Chordariaceae","Myrionema","Myrionema balticum"
"2638","4148","OTU_4184","High","159643","Eukaryota","Mollusca","Gastropoda","","Planorbidae","Bulinus","Bulinus umbilicatus"
"2639","4149","OTU_4185","High","2202240","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Streblocladia","Streblocladia camptoclada"
"2661","4186","OTU_4222","High","283780","Eukaryota","Annelida","Polychaeta","Sabellida","Serpulidae","Ficopomatus","Ficopomatus enigmaticus"
"2670","4197","OTU_4233","High","173546","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Polysiphonia","Polysiphonia virgata"
"2698","4239","OTU_4275","High","401952","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","Aglaophenia","Aglaophenia parvula"
"2702","4244","OTU_4280","High","464653","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Cheilosporum","Cheilosporum cultratum"
"2709","4256","OTU_4292","High","1320687","Eukaryota","Echinodermata","Crinoidea","Comatulida","Antedonidae","Annametra","Annametra occidentalis"
"2718","4276","OTU_4312","High","87982","Eukaryota","Mollusca","Gastropoda","","Patellidae","Scutellastra","Scutellastra granularis"
"2726","4293","OTU_4330","High","43926","Eukaryota","","Eustigmatophyceae","Eustigmatales","Monodopsidaceae","Nannochloropsis","Nannochloropsis granulata"
"2739","4317","OTU_4354","High","39447","Eukaryota","","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Gymnodinium catenatum"
"2794","4394","OTU_4431","High","128124","Eukaryota","Cnidaria","Hydrozoa","Limnomedusae","Olindiidae","Craspedacusta","Craspedacusta sowerbii"
"2805","4416","OTU_4453","High","1210411","Eukaryota","Annelida","Polychaeta","Phyllodocida","Polynoidae","Lepidonotus","Lepidonotus clava"
"2934","4640","OTU_4687","High","1003754","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Planiliza","Planiliza alata"
"2935","463","OTU_469","High","299206","Eukaryota","","Katablepharidophyta","","Katablepharidaceae","Leucocryptos","Leucocryptos marina"
"2973","470","OTU_476","High","7658","Eukaryota","Echinodermata","Echinoidea","Echinoida","Echinidae","Parechinus","Parechinus angulosus"
"2997","474","OTU_480","High","216823","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema menzelii"
"3023","4803","OTU_4852","High","2259400","Eukaryota","Porifera","Demospongiae","Poecilosclerida","","Iophon","Iophon methanophila"
"3031","4814","OTU_4863","High","2116084","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Spermothamnion","Spermothamnion cymosum"
"3064","4881","OTU_4930","High","156133","Eukaryota","Chlorophyta","Palmophyllophyceae","Prasinococcales","Prasinococcaceae","Prasinoderma","Prasinoderma coloniale"
"3065","4882","OTU_4931","High","36930","Eukaryota","Mollusca","Bivalvia","Ostreoida","Ostreidae","Saccostrea","Saccostrea cucullata"
"3083","4913","OTU_4962","High","168635","Eukaryota","Chordata","Ascidiacea","Enterogona","Didemnidae","Diplosoma","Diplosoma listerianum"
"3087","4919","OTU_4968","High","2005786","Eukaryota","Rhodophyta","Florideophyceae","Gigartinales","Kallymeniaceae","Leniea","Leniea kylinii"
"3105","4941","OTU_4992","High","336185","Eukaryota","Mollusca","Gastropoda","Trochida","Trochidae","Oxystele","Oxystele variegata"
"3143","500","OTU_506","High","49249","Eukaryota","Bacillariophyta","Mediophyceae","Lithodesmiales","Lithodesmiaceae","Ditylum","Ditylum brightwellii"
"3144","5006","OTU_5060","High","573193","Eukaryota","Annelida","Polychaeta","Spionida","Spionidae","Boccardia","Boccardia proboscidea"
"3172","5049","OTU_5103","High","406007","Eukaryota","Mollusca","Gastropoda","Trochida","Turbinidae","Turbo","Turbo sarmaticus"
"3186","5078","OTU_5132","High","2903","Eukaryota","","Haptophyceae","Isochrysidales","Noelaerhabdaceae","Emiliania","Emiliania huxleyi"
"3190","5086","OTU_5140","High","717899","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Polysiphonia","Polysiphonia schneideri"
"3207","5120","OTU_5175","High","661990","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Eucheilota","Eucheilota maculata"
"3222","5149","OTU_5204","High","744985","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","","alpha proteobacterium HIMB59"
"3235","5176","OTU_5231","High","1210411","Eukaryota","Annelida","Polychaeta","Phyllodocida","Polynoidae","Lepidonotus","Lepidonotus clava"
"3251","5203","OTU_5258","High","401952","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","Aglaophenia","Aglaophenia parvula"
"3307","529","OTU_535","High","110520","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus glandula"
"3323","5325","OTU_5382","High","163232","Eukaryota","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria okadai"
"3329","5335","OTU_5393","High","146614","Eukaryota","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax capensis"
"3337","535","OTU_541","High","89963","Eukaryota","","Dinophyceae","Peridiniales","Heterocapsaceae","Heterocapsa","Heterocapsa rotundata"
"3389","545","OTU_551","High","223366","Eukaryota","Chordata","Ascidiacea","Enterogona","Ascidiidae","Ascidia","Ascidia ahodori"
"3396","546","OTU_552","High","1545455","Eukaryota","","Synurophyceae","Ochromonadales","","Acrispumella","Acrispumella msimbaziensis"
"3484","563","OTU_569","High","66468","Eukaryota","","Dinophyceae","Peridiniales","Heterocapsaceae","Heterocapsa","Heterocapsa triquetra"
"3576","581","OTU_588","High","33659","Eukaryota","","Haptophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis pouchetii"
"3602","5868","OTU_5931","High","990617","Eukaryota","Chordata","Actinopteri","Blenniiformes","Blenniidae","Parablennius","Parablennius cornutus"
"3621","591","OTU_598","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"3627","5931","OTU_5996","High","89963","Eukaryota","","Dinophyceae","Peridiniales","Heterocapsaceae","Heterocapsa","Heterocapsa rotundata"
"3630","6","OTU_6","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"3642","5957","OTU_6023","High","458488","Eukaryota","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Chelonaplysilla","Chelonaplysilla erecta"
"3693","6082","OTU_6149","High","1262161","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Pyropia","Pyropia haitanensis"
"3694","608","OTU_615","High","1232801","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Amphibalanus","Amphibalanus amphitrite"
"3696","6085","OTU_6152","High","283909","Eukaryota","Annelida","Polychaeta","Capitellida","Capitellidae","Capitella","Capitella teleta"
"3719","6121","OTU_6189","High","6087","Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra vulgaris"
"3736","6156","OTU_6224","High","558755","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Cryptosulidae","Cryptosula","Cryptosula pallasiana"
