,RowID,OTU,assignmentQual,taxID,superkingdom,phylum,class,order,family,genus,species,Status,AphiaID,Match type,Qualitystatus,ScientificName,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,Citation
286,1134,OTU_1146,High,298899,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra capensis,,,,,,,,,,,,,,,,,
325,11556,OTU_11719,High,97227,Eukaryota,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema parvulum,,,,,,,,,,,,,,,,,
331,1162,OTU_1174,High,2202240,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Streblocladia,Streblocladia camptoclada,,,,,,,,,,,,,,,,,
351,119,OTU_119,High,186178,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Pleopis,Pleopis polyphemoides,,,,,,,,,,,,,,,,,
396,1196,OTU_1209,High,77300,Eukaryota,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides,uncertain,990876,exact,Checked by Taxonomic Editor,Margalefidinium polykrikoides,990876,Margalefidinium polykrikoides,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,,polykrikoides,,"Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Margalefidinium polykrikoides (Margalef) F.Gómez, Richlen & D.M.Anderson, 2017. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=990876 on 2020-01-16"
400,121,OTU_121,High,298899,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra capensis,,,,,,,,,,,,,,,,,
422,1215,OTU_1228,High,29158,Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus galloprovincialis,nonnative,140481,exact,Checked by Taxonomic Editor,Mytilus galloprovincialis,140481,Mytilus galloprovincialis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,galloprovincialis,,"MolluscaBase eds. (2020). MolluscaBase. Mytilus galloprovincialis Lamarck, 1819. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=140481 on 2020-01-16"
446,1233,OTU_1246,High,544689,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages tenuiremis,,,,,,,,,,,,,,,,,
447,1234,OTU_1247,High,39450,Eukaryota,,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum triestinum,uncertain,110316,exact,Checked by Taxonomic Editor,Prorocentrum triestinum,110316,Prorocentrum triestinum,Chromista,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,,triestinum,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Prorocentrum triestinum J.Schiller, 1918. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110316 on 2020-01-16"
471,1247,OTU_1260,High,118375,Eukaryota,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,Grateloupia turuturu,uncertain,295880,exact,Checked by Taxonomic Editor,Grateloupia turuturu,295880,Grateloupia turuturu,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,,turuturu,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Grateloupia turuturu Yamada, 1941. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=295880 on 2020-01-16"
479,1257,OTU_1270,High,2903,Eukaryota,,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,,,,,,,,,,,,,,,,,
482,1261,OTU_1274,High,1664502,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia sabit,,,,,,,,,,,,,,,,,
496,1270,OTU_1283,High,744985,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,,alpha proteobacterium HIMB59,,,,,,,,,,,,,,,,,
595,1354,OTU_1367,High,77300,Eukaryota,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides,uncertain,990876,exact,Checked by Taxonomic Editor,Margalefidinium polykrikoides,990876,Margalefidinium polykrikoides,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,,polykrikoides,,"Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Margalefidinium polykrikoides (Margalef) F.Gómez, Richlen & D.M.Anderson, 2017. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=990876 on 2020-01-16"
598,1358,OTU_1371,High,1273208,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Assimineidae,Assiminea,Assiminea capensis,,,,,,,,,,,,,,,,,
624,1380,OTU_1393,High,2903,Eukaryota,,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,,,,,,,,,,,,,,,,,
633,13738,OTU_13957,High,54899,Eukaryota,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe longicolla,,,,,,,,,,,,,,,,,
638,14,OTU_14,High,298899,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra capensis,,,,,,,,,,,,,,,,,
663,1405,OTU_1419,High,1415943,Eukaryota,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Haminoea,Haminoea alfredensis,,,,,,,,,,,,,,,,,
668,1410,OTU_1424,High,1664502,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia sabit,,,,,,,,,,,,,,,,,
680,1426,OTU_1440,High,62808,Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,Botrylloides leachii,nonnative,250081,exact,Checked by Taxonomic Editor,Botrylloides leachii,250081,Botrylloides leachii,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,,leachii,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Botrylloides leachii (Savigny, 1816). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=250081 on 2020-01-16"
724,1454,OTU_1468,High,451786,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Attheyaceae,Attheya,Attheya longicornis,,,,,,,,,,,,,,,,,
752,15,OTU_15,High,38833,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla,,,,,,,,,,,,,,,,,
755,1493,OTU_1507,High,439822,Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus,Microcosmus squamiger,nonnative,236666,exact,Checked by Taxonomic Editor,Microcosmus squamiger,236666,Microcosmus squamiger,Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus,,squamiger,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Microcosmus squamiger Michaelsen, 1927. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=236666 on 2020-01-16"
763,1502,OTU_1516,High,33659,Eukaryota,,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,uncertain,115106,exact,Checked by Taxonomic Editor,Phaeocystis pouchetii,115106,Phaeocystis pouchetii,Chromista,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,,pouchetii,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Phaeocystis pouchetii (Hariot) Lagerheim, 1896. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=115106 on 2020-01-16"
799,1540,OTU_1555,High,348593,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,Ostrea stentina,nonnative,489077,exact,Checked by Taxonomic Editor,Ostrea stentina,489077,Ostrea stentina,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,,stentina,,"MolluscaBase eds. (2020). MolluscaBase. Ostrea stentina Payraudeau, 1826. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=489077 on 2020-01-16"
803,155,OTU_156,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
813,1557,OTU_1572,High,7726,Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,Styela plicata,nonnative,103936,exact,Checked by Taxonomic Editor,Styela plicata,103936,Styela plicata,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,,plicata,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Styela plicata (Lesueur, 1823). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103936 on 2020-01-16"
890,165,OTU_166,High,94617,Eukaryota,,Raphidophyceae,Chattonellales,Chattonellaceae,Fibrocapsa,Fibrocapsa japonica,nonnative,233761,exact,Checked by Taxonomic Editor,Fibrocapsa japonica,233761,Fibrocapsa japonica,Chromista,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellaceae,Fibrocapsa,,japonica,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Fibrocapsa japonica S.Toriumi & H.Takano, 1973. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=233761 on 2020-01-16"
905,1663,OTU_1679,High,62808,Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,Botrylloides leachii,nonnative,250081,exact,Checked by Taxonomic Editor,Botrylloides leachii,250081,Botrylloides leachii,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,,leachii,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Botrylloides leachii (Savigny, 1816). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=250081 on 2020-01-16"
908,1667,OTU_1683,High,37520,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia dichotoma,nonnative,117386,exact,Checked by Taxonomic Editor,Obelia dichotoma,117386,Obelia dichotoma,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,,dichotoma,,"Schuchert, P. (2020). World Hydrozoa Database. Obelia dichotoma (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=117386 on 2020-01-16"
924,17,OTU_17,High,33640,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis,uncertain,149139,exact,Edited by Database Management Team,Asterionellopsis glacialis,148955,Asterionella glacialis,Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,,glacialis,,"Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Asterionellopsis glacialis (Castracane) Round, 1990. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149139 on 2020-01-16"
926,1685,OTU_1701,High,156133,Eukaryota,Chlorophyta,Palmophyllophyceae,Prasinococcales,Prasinococcaceae,Prasinoderma,Prasinoderma coloniale,,,,,,,,,,,,,,,,,
941,171,OTU_172,High,498525,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Corymorphidae,Corymorpha,Corymorpha bigelowi,native,117448,exact,Checked by Taxonomic Editor,Corymorpha bigelowi,117448,Corymorpha bigelowi,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corymorphidae,Corymorpha,,bigelowi,,"Schuchert, P. (2019). World Hydrozoa Database. Corymorpha bigelowi (Maas, 1905). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=117448 on 2020-01-16"
949,172,OTU_173,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
968,1741,OTU_1757,High,33658,Eukaryota,,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa,,,,,,,,,,,,,,,,,
974,1746,OTU_1762,High,1495204,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora hoplura,uncertain,131146,exact,Checked by Taxonomic Editor,Polydora hoplura,131146,Polydora hoplura,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora,,hoplura,,"Read, G.; Fauchald, K. (Ed.) (2020). World Polychaeta database. Polydora hoplura Claparède, 1868. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=131146 on 2020-01-16"
976,1748,OTU_1764,High,661990,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Eucheilota,Eucheilota maculata,,,,,,,,,,,,,,,,,
980,176,OTU_177,High,1470270,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis lenisilicea,,,,,,,,,,,,,,,,,
1043,1850,OTU_1867,High,1388884,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia lundholmiae,,,,,,,,,,,,,,,,,
1062,1881,OTU_1898,High,373637,Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytilidae,Aulacomya,Aulacomya atra,native,505963,exact,Checked by Taxonomic Editor,Aulacomya atra,505963,Aulacomya atra,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Aulacomya,,atra,,"MolluscaBase eds. (2020). MolluscaBase. Aulacomya atra (Molina, 1782). Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=505963 on 2020-01-16"
1079,1904,OTU_1922,High,37520,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia dichotoma,nonnative,117386,exact,Checked by Taxonomic Editor,Obelia dichotoma,117386,Obelia dichotoma,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,,dichotoma,,"Schuchert, P. (2020). World Hydrozoa Database. Obelia dichotoma (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=117386 on 2020-01-16"
1097,1925,OTU_1943,High,479643,Eukaryota,Porifera,Demospongiae,Dendroceratida,Dictyodendrillidae,Igernella,Igernella notabilis,,,,,,,,,,,,,,,,,
1155,1996,OTU_2014,High,2903,Eukaryota,,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,,,,,,,,,,,,,,,,,
1167,2015,OTU_2033,High,469330,Eukaryota,Porifera,Demospongiae,Haplosclerida,Callyspongiidae,Callyspongia,Callyspongia siphonella,,,,,,,,,,,,,,,,,
1191,2047,OTU_2065,High,1273208,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Assimineidae,Assiminea,Assiminea capensis,,,,,,,,,,,,,,,,,
1192,2051,OTU_2069,High,2903,Eukaryota,,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,,,,,,,,,,,,,,,,,
1193,205,OTU_207,High,38833,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla,,,,,,,,,,,,,,,,,
1195,2054,OTU_2072,High,1582912,Eukaryota,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,Acrochaetium,Acrochaetium plumosum,,,,,,,,,,,,,,,,,
1209,207,OTU_209,High,6230,Eukaryota,Nemertea,Enopla,Monostilifera,Emplectonematidae,Emplectonema,Emplectonema gracile,,,,,,,,,,,,,,,,,
1210,2072,OTU_2090,High,44447,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia delicatissima,uncertain,149153,exact,Checked by Taxonomic Editor,Pseudo-nitzschia delicatissima,149153,Pseudo-nitzschia delicatissima,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,,delicatissima,,"Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Pseudo-nitzschia delicatissima (Cleve) Heiden, 1928. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149153 on 2020-01-16"
1211,2074,OTU_2092,High,1476438,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,Plumularia gaimardi,,,,,,,,,,,,,,,,,
1235,2110,OTU_2128,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
1240,2118,OTU_2136,High,46524,Eukaryota,Echinodermata,Asteroidea,Valvatida,Asterinidae,Parvulastra,Parvulastra exigua,,,,,,,,,,,,,,,,,
1259,2148,OTU_2167,High,1664502,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia sabit,,,,,,,,,,,,,,,,,
1268,216,OTU_218,High,223366,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,,,,,,,,,,,,,,,,,
1293,2191,OTU_2210,High,7726,Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,Styela plicata,nonnative,103936,exact,Checked by Taxonomic Editor,Styela plicata,103936,Styela plicata,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,,plicata,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Styela plicata (Lesueur, 1823). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103936 on 2020-01-16"
1332,2242,OTU_2261,High,298899,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra capensis,,,,,,,,,,,,,,,,,
1341,2256,OTU_2275,High,33658,Eukaryota,,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa,,,,,,,,,,,,,,,,,
1352,2271,OTU_2290,High,4781,Eukaryota,,Oomycetes,Peronosporales,Peronosporaceae,Plasmopara,Plasmopara halstedii,,,,,,,,,,,,,,,,,
1369,2294,OTU_2313,High,37520,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia dichotoma,nonnative,117386,exact,Checked by Taxonomic Editor,Obelia dichotoma,117386,Obelia dichotoma,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,,dichotoma,,"Schuchert, P. (2020). World Hydrozoa Database. Obelia dichotoma (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=117386 on 2020-01-16"
1375,2306,OTU_2325,High,348593,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,Ostrea stentina,nonnative,489077,exact,Checked by Taxonomic Editor,Ostrea stentina,489077,Ostrea stentina,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,,stentina,,"MolluscaBase eds. (2020). MolluscaBase. Ostrea stentina Payraudeau, 1826. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=489077 on 2020-01-16"
1377,2310,OTU_2329,High,135651,Eukaryota,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis brenneri,,,,,,,,,,,,,,,,,
1395,2339,OTU_2358,High,2893,Eukaryota,,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Petalonia,Petalonia fascia,,,,,,,,,,,,,,,,,
1401,2347,OTU_2366,High,6063,Eukaryota,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria panicea,,,,,,,,,,,,,,,,,
1460,2449,OTU_2469,High,201961,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidiella,Ascidiella aspersa,nonnative,103718,exact,Checked by Taxonomic Editor,Ascidiella aspersa,103718,Ascidiella aspersa,Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,,aspersa,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Ascidiella aspersa (Müller, 1776). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103718 on 2020-01-16"
1482,2479,OTU_2499,High,521029,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Gilchristella,Gilchristella aestuaria,,,,,,,,,,,,,,,,,
1510,2516,OTU_2536,High,581059,Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Polyandrocarpa,Polyandrocarpa zorritensis,nonnative,103895,exact,Checked by Taxonomic Editor,Polyandrocarpa zorritensis,103895,Polyandrocarpa zorritensis,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Polyandrocarpa,,zorritensis,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Polyandrocarpa zorritensis (Van Name, 1931). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103895 on 2020-01-16"
